"Iter","s3dis/semseg-octformer-v1m1-0-lit - _step","s3dis/semseg-octformer-v1m1-0-lit - _step__MIN","s3dis/semseg-octformer-v1m1-0-lit - _step__MAX","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MIN","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MAX"
"1","1","1","1","2.6043713092803955","2.6043713092803955","2.6043713092803955"
"2","2","2","2","2.554802894592285","2.554802894592285","2.554802894592285"
"3","3","3","3","2.5820541381835938","2.5820541381835938","2.5820541381835938"
"4","4","4","4","2.5172362327575684","2.5172362327575684","2.5172362327575684"
"5","5","5","5","2.510334014892578","2.510334014892578","2.510334014892578"
"6","6","6","6","2.519010066986084","2.519010066986084","2.519010066986084"
"7","7","7","7","2.491353750228882","2.491353750228882","2.491353750228882"
"8","8","8","8","2.44842791557312","2.44842791557312","2.44842791557312"
"9","9","9","9","2.435563087463379","2.435563087463379","2.435563087463379"
"10","10","10","10","2.418485641479492","2.418485641479492","2.418485641479492"
"11","11","11","11","2.321800470352173","2.321800470352173","2.321800470352173"
"12","12","12","12","2.343100070953369","2.343100070953369","2.343100070953369"
"13","13","13","13","2.237593173980713","2.237593173980713","2.237593173980713"
"14","14","14","14","2.1741883754730225","2.1741883754730225","2.1741883754730225"
"15","15","15","15","2.1840810775756836","2.1840810775756836","2.1840810775756836"
"16","16","16","16","1.9371851682662964","1.9371851682662964","1.9371851682662964"
"17","17","17","17","1.9945907592773438","1.9945907592773438","1.9945907592773438"
"18","18","18","18","1.8976500034332275","1.8976500034332275","1.8976500034332275"
"19","19","19","19","1.932271122932434","1.932271122932434","1.932271122932434"
"20","20","20","20","1.9432215690612793","1.9432215690612793","1.9432215690612793"
"21","21","21","21","1.8833595514297485","1.8833595514297485","1.8833595514297485"
"22","22","22","22","1.748038411140442","1.748038411140442","1.748038411140442"
"23","23","23","23","1.9100836515426636","1.9100836515426636","1.9100836515426636"
"24","24","24","24","1.8619550466537476","1.8619550466537476","1.8619550466537476"
"25","25","25","25","1.617773413658142","1.617773413658142","1.617773413658142"
"26","26","26","26","1.6773459911346436","1.6773459911346436","1.6773459911346436"
"27","27","27","27","1.6867718696594238","1.6867718696594238","1.6867718696594238"
"28","28","28","28","1.6234382390975952","1.6234382390975952","1.6234382390975952"
"29","29","29","29","1.4269620180130005","1.4269620180130005","1.4269620180130005"
"30","30","30","30","1.5127114057540894","1.5127114057540894","1.5127114057540894"
"31","31","31","31","1.5520153045654297","1.5520153045654297","1.5520153045654297"
"32","32","32","32","1.3703526258468628","1.3703526258468628","1.3703526258468628"
"33","33","33","33","1.3839842081069946","1.3839842081069946","1.3839842081069946"
"34","34","34","34","1.4301371574401855","1.4301371574401855","1.4301371574401855"
"35","35","35","35","1.5924617052078247","1.5924617052078247","1.5924617052078247"
"36","36","36","36","1.5217397212982178","1.5217397212982178","1.5217397212982178"
"37","37","37","37","1.256983757019043","1.256983757019043","1.256983757019043"
"38","38","38","38","1.544937014579773","1.544937014579773","1.544937014579773"
"39","39","39","39","1.3116168975830078","1.3116168975830078","1.3116168975830078"
"40","40","40","40","1.2455562353134155","1.2455562353134155","1.2455562353134155"
"41","41","41","41","1.3077712059020996","1.3077712059020996","1.3077712059020996"
"42","42","42","42","1.4305208921432495","1.4305208921432495","1.4305208921432495"
"43","43","43","43","1.4705531597137451","1.4705531597137451","1.4705531597137451"
"44","44","44","44","1.318084955215454","1.318084955215454","1.318084955215454"
"45","45","45","45","1.18798828125","1.18798828125","1.18798828125"
"46","46","46","46","1.2310006618499756","1.2310006618499756","1.2310006618499756"
"47","47","47","47","1.2898958921432495","1.2898958921432495","1.2898958921432495"
"48","48","48","48","1.1627452373504639","1.1627452373504639","1.1627452373504639"
"49","49","49","49","1.3327839374542236","1.3327839374542236","1.3327839374542236"
"50","50","50","50","1.2731523513793945","1.2731523513793945","1.2731523513793945"
"51","51","51","51","1.4688423871994019","1.4688423871994019","1.4688423871994019"
