"Epoch","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train/loss","s3dis/semseg-pt-v1-0-base - train/loss__MIN","s3dis/semseg-pt-v1-0-base - train/loss__MAX"
"1","1020","1020","1020","0.6517521050630831","0.6517521050630831","0.6517521050630831"
"2","2040","2040","2040","0.3880147677718424","0.3880147677718424","0.3880147677718424"
"3","3060","3060","3060","0.31848938330715776","0.31848938330715776","0.31848938330715776"
"4","4080","4080","4080","0.2734956657988768","0.2734956657988768","0.2734956657988768"
"5","5100","5100","5100","0.25525091191132865","0.25525091191132865","0.25525091191132865"
"6","6120","6120","6120","0.24000284674705244","0.24000284674705244","0.24000284674705244"
"7","7140","7140","7140","0.22977644294208172","0.22977644294208172","0.22977644294208172"
"8","8160","8160","8160","0.21960756738542342","0.21960756738542342","0.21960756738542342"
"9","9180","9180","9180","0.21166442564743407","0.21166442564743407","0.21166442564743407"
"10","10200","10200","10200","0.2079224326812169","0.2079224326812169","0.2079224326812169"
"11","11220","11220","11220","0.19967059522282843","0.19967059522282843","0.19967059522282843"
"12","12240","12240","12240","0.1960857865126694","0.1960857865126694","0.1960857865126694"
"13","13260","13260","13260","0.19415183680168555","0.19415183680168555","0.19415183680168555"
"14","14280","14280","14280","0.18778645079582929","0.18778645079582929","0.18778645079582929"
"15","15300","15300","15300","0.18905024299872855","0.18905024299872855","0.18905024299872855"
"16","16320","16320","16320","0.1864318740243713","0.1864318740243713","0.1864318740243713"
"17","17340","17340","17340","0.184546172187901","0.184546172187901","0.184546172187901"
"18","18360","18360","18360","0.18078927567192152","0.18078927567192152","0.18078927567192152"
"19","19380","19380","19380","0.18304212944326448","0.18304212944326448","0.18304212944326448"
"20","6120","6120","6120","0.1384003656411093","0.1384003656411093","0.1384003656411093"
"21","6426","6426","6426","0.12373861743538987","0.12373861743538987","0.12373861743538987"
"22","6732","6732","6732","0.12969203591590223","0.12969203591590223","0.12969203591590223"
"23","7038","7038","7038","0.1306145210671269","0.1306145210671269","0.1306145210671269"
"24","7344","7344","7344","0.13574843756318872","0.13574843756318872","0.13574843756318872"
"25","7650","7650","7650","0.13568218181433242","0.13568218181433242","0.13568218181433242"
"26","7956","7956","7956","0.13647262392918658","0.13647262392918658","0.13647262392918658"
"27","8262","8262","8262","0.1347042191773653","0.1347042191773653","0.1347042191773653"
"28","8568","8568","8568","0.13775416580485364","0.13775416580485364","0.13775416580485364"
"29","8874","8874","8874","0.12564030322520173","0.12564030322520173","0.12564030322520173"
"30","9180","9180","9180","0.13635971089155455","0.13635971089155455","0.13635971089155455"
"31","9486","9486","9486","0.12903850396571595","0.12903850396571595","0.12903850396571595"
"32","9792","9792","9792","0.12881329292857568","0.12881329292857568","0.12881329292857568"
"33","10098","10098","10098","0.1322846436520028","0.1322846436520028","0.1322846436520028"
"34","10404","10404","10404","0.12649660191066514","0.12649660191066514","0.12649660191066514"
"35","10710","10710","10710","0.125263753280141","0.125263753280141","0.125263753280141"
"36","11016","11016","11016","0.1285476858660676","0.1285476858660676","0.1285476858660676"
"37","11322","11322","11322","0.12731154270324052","0.12731154270324052","0.12731154270324052"
"38","11628","11628","11628","0.12884408071198883","0.12884408071198883","0.12884408071198883"
"39","11934","11934","11934","0.12321864448341668","0.12321864448341668","0.12321864448341668"
"40","12240","12240","12240","0.12667672869329358","0.12667672869329358","0.12667672869329358"
"41","12546","12546","12546","0.12134579672581619","0.12134579672581619","0.12134579672581619"
"42","12852","12852","12852","0.12105474802452365","0.12105474802452365","0.12105474802452365"
"43","13158","13158","13158","0.12675746253941184","0.12675746253941184","0.12675746253941184"
"44","13464","13464","13464","0.12451933058940508","0.12451933058940508","0.12451933058940508"
"45","13770","13770","13770","0.12055535145785684","0.12055535145785684","0.12055535145785684"
"46","14076","14076","14076","0.12199169475268694","0.12199169475268694","0.12199169475268694"
"47","14382","14382","14382","0.1197488206176976","0.1197488206176976","0.1197488206176976"
"48","14688","14688","14688","0.1189518917741534","0.1189518917741534","0.1189518917741534"
"49","14994","14994","14994","0.12477591541273142","0.12477591541273142","0.12477591541273142"
"50","15300","15300","15300","0.12047338176494331","0.12047338176494331","0.12047338176494331"
"51","15606","15606","15606","0.1162443795284025","0.1162443795284025","0.1162443795284025"
"52","15912","15912","15912","0.12190474628233443","0.12190474628233443","0.12190474628233443"
"53","16218","16218","16218","0.11510430169261358","0.11510430169261358","0.11510430169261358"
"54","16524","16524","16524","0.11337115061682423","0.11337115061682423","0.11337115061682423"
"55","16830","16830","16830","0.12253574632546481","0.12253574632546481","0.12253574632546481"
"56","17136","17136","17136","0.11589236639050488","0.11589236639050488","0.11589236639050488"
"57","17442","17442","17442","0.12176749613014312","0.12176749613014312","0.12176749613014312"
"58","17748","17748","17748","0.11853490096632562","0.11853490096632562","0.11853490096632562"
"59","18054","18054","18054","0.11844187592661459","0.11844187592661459","0.11844187592661459"
"60","18360","18360","18360","0.11302233324234003","0.11302233324234003","0.11302233324234003"
"61","18666","18666","18666","0.118731103508788","0.118731103508788","0.118731103508788"
"62","18972","18972","18972","0.11992333522614311","0.11992333522614311","0.11992333522614311"
"63","24066","24066","24066","0.13479856137400834","0.13479856137400834","0.13479856137400834"
"64","24448","24448","24448","0.12247057998289612","0.12247057998289612","0.12247057998289612"
"65","24830","24830","24830","0.12660163628298263","0.12660163628298263","0.12660163628298263"
"66","25212","25212","25212","0.12802407156227458","0.12802407156227458","0.12802407156227458"
"67","25594","25594","25594","0.11876023594894647","0.11876023594894647","0.11876023594894647"
"68","25976","25976","25976","0.12700604433827686","0.12700604433827686","0.12700604433827686"
"69","26358","26358","26358","0.11872495726453072","0.11872495726453072","0.11872495726453072"
"70","26740","26740","26740","0.12379846334730456","0.12379846334730456","0.12379846334730456"
"71","27122","27122","27122","0.1252619915627216","0.1252619915627216","0.1252619915627216"
"72","27504","27504","27504","0.12230365420082165","0.12230365420082165","0.12230365420082165"
"73","27886","27886","27886","0.11954862773613469","0.11954862773613469","0.11954862773613469"
"74","28268","28268","28268","0.11977180576254248","0.11977180576254248","0.11977180576254248"
"75","28650","28650","28650","0.1222634143854311","0.1222634143854311","0.1222634143854311"
"76","29032","29032","29032","0.1174361906477606","0.1174361906477606","0.1174361906477606"
"77","29414","29414","29414","0.1310370736779811","0.1310370736779811","0.1310370736779811"
"78","29796","29796","29796","0.11972866073757878","0.11972866073757878","0.11972866073757878"
