"Iter","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train_batch/loss","s3dis/semseg-pt-v1-0-base - train_batch/loss__MIN","s3dis/semseg-pt-v1-0-base - train_batch/loss__MAX"
"1","1","1","1","2.7678585052490234","2.7678585052490234","2.7678585052490234"
"2","2","2","2","2.496056318283081","2.496056318283081","2.496056318283081"
"3","3","3","3","2.2788307666778564","2.2788307666778564","2.2788307666778564"
"4","4","4","4","2.180589199066162","2.180589199066162","2.180589199066162"
"5","5","5","5","2.0193464756011963","2.0193464756011963","2.0193464756011963"
"6","6","6","6","1.9650256633758545","1.9650256633758545","1.9650256633758545"
"7","7","7","7","1.9025002717971802","1.9025002717971802","1.9025002717971802"
"8","8","8","8","1.7431268692016602","1.7431268692016602","1.7431268692016602"
"9","9","9","9","1.887900948524475","1.887900948524475","1.887900948524475"
"10","10","10","10","1.7327477931976318","1.7327477931976318","1.7327477931976318"
"11","11","11","11","1.5156916379928589","1.5156916379928589","1.5156916379928589"
"12","12","12","12","1.5467374324798584","1.5467374324798584","1.5467374324798584"
"13","13","13","13","1.444209337234497","1.444209337234497","1.444209337234497"
"14","14","14","14","1.4403821229934692","1.4403821229934692","1.4403821229934692"
"15","15","15","15","1.5340484380722046","1.5340484380722046","1.5340484380722046"
"16","16","16","16","1.488486409187317","1.488486409187317","1.488486409187317"
"17","17","17","17","1.4867734909057617","1.4867734909057617","1.4867734909057617"
"18","18","18","18","1.370662808418274","1.370662808418274","1.370662808418274"
"19","19","19","19","1.2062008380889893","1.2062008380889893","1.2062008380889893"
"20","20","20","20","1.2694467306137085","1.2694467306137085","1.2694467306137085"
"21","21","21","21","1.0744917392730713","1.0744917392730713","1.0744917392730713"
"22","22","22","22","1.232606053352356","1.232606053352356","1.232606053352356"
"23","23","23","23","1.195058822631836","1.195058822631836","1.195058822631836"
"24","24","24","24","1.075321078300476","1.075321078300476","1.075321078300476"
"25","25","25","25","1.1628620624542236","1.1628620624542236","1.1628620624542236"
"26","26","26","26","1.410945177078247","1.410945177078247","1.410945177078247"
"27","27","27","27","1.2471646070480347","1.2471646070480347","1.2471646070480347"
"28","28","28","28","1.3212077617645264","1.3212077617645264","1.3212077617645264"
"29","29","29","29","0.98393315076828","0.98393315076828","0.98393315076828"
"30","30","30","30","1.2229559421539307","1.2229559421539307","1.2229559421539307"
"31","31","31","31","0.9583067297935486","0.9583067297935486","0.9583067297935486"
"32","32","32","32","1.045400619506836","1.045400619506836","1.045400619506836"
"33","33","33","33","1.3221518993377686","1.3221518993377686","1.3221518993377686"
"34","34","34","34","1.1126315593719482","1.1126315593719482","1.1126315593719482"
"35","35","35","35","1.114859700202942","1.114859700202942","1.114859700202942"
"36","36","36","36","0.9766165614128113","0.9766165614128113","0.9766165614128113"
"37","37","37","37","1.2054651975631714","1.2054651975631714","1.2054651975631714"
"38","38","38","38","1.0803667306900024","1.0803667306900024","1.0803667306900024"
"39","39","39","39","1.0123313665390015","1.0123313665390015","1.0123313665390015"
"40","40","40","40","1.1537996530532837","1.1537996530532837","1.1537996530532837"
"41","41","41","41","1.1309266090393066","1.1309266090393066","1.1309266090393066"
"42","42","42","42","1.0195354223251343","1.0195354223251343","1.0195354223251343"
"43","43","43","43","1.0097441673278809","1.0097441673278809","1.0097441673278809"
"44","44","44","44","0.7857962846755981","0.7857962846755981","0.7857962846755981"
"45","45","45","45","1.160153865814209","1.160153865814209","1.160153865814209"
"46","46","46","46","1.1590321063995361","1.1590321063995361","1.1590321063995361"
"47","47","47","47","1.0637822151184082","1.0637822151184082","1.0637822151184082"
"48","48","48","48","0.9390134811401367","0.9390134811401367","0.9390134811401367"
"49","49","49","49","1.1110937595367432","1.1110937595367432","1.1110937595367432"
"50","50","50","50","1.2928093671798706","1.2928093671798706","1.2928093671798706"
"51","51","51","51","1.1702455282211304","1.1702455282211304","1.1702455282211304"
"52","52","52","52","0.9921167492866516","0.9921167492866516","0.9921167492866516"
"53","53","53","53","0.7922011613845825","0.7922011613845825","0.7922011613845825"
"54","54","54","54","0.8576880693435669","0.8576880693435669","0.8576880693435669"
"55","55","55","55","0.8938799500465393","0.8938799500465393","0.8938799500465393"
"56","56","56","56","1.318817138671875","1.318817138671875","1.318817138671875"
"57","57","57","57","1.0350600481033325","1.0350600481033325","1.0350600481033325"
"58","58","58","58","0.814652144908905","0.814652144908905","0.814652144908905"
"59","59","59","59","0.979489803314209","0.979489803314209","0.979489803314209"
"60","60","60","60","1.2096240520477295","1.2096240520477295","1.2096240520477295"
"61","61","61","61","1.0028283596038818","1.0028283596038818","1.0028283596038818"
"62","62","62","62","0.9820032715797424","0.9820032715797424","0.9820032715797424"
"63","63","63","63","1.0224097967147827","1.0224097967147827","1.0224097967147827"
"64","64","64","64","1.253854751586914","1.253854751586914","1.253854751586914"
