"Epoch","s3dis/semseg-pt-v3m1-0-base - _step","s3dis/semseg-pt-v3m1-0-base - _step__MIN","s3dis/semseg-pt-v3m1-0-base - _step__MAX","s3dis/semseg-pt-v3m1-0-base - train/loss","s3dis/semseg-pt-v3m1-0-base - train/loss__MIN","s3dis/semseg-pt-v3m1-0-base - train/loss__MAX"
"1","510","510","510","1.2482106194776648","1.2482106194776648","1.2482106194776648"
"2","1020","1020","1020","0.8525220001445097","0.8525220001445097","0.8525220001445097"
"3","1530","1530","1530","0.7275684233974008","0.7275684233974008","0.7275684233974008"
"4","2040","2040","2040","0.641026752836564","0.641026752836564","0.641026752836564"
"5","2550","2550","2550","0.5974227620690477","0.5974227620690477","0.5974227620690477"
"6","3060","3060","3060","0.5247086302906859","0.5247086302906859","0.5247086302906859"
"7","3570","3570","3570","0.4902490308179575","0.4902490308179575","0.4902490308179575"
"8","4080","4080","4080","0.44715711471496844","0.44715711471496844","0.44715711471496844"
"9","4590","4590","4590","0.4296649147774659","0.4296649147774659","0.4296649147774659"
"10","5100","5100","5100","0.4055678076019474","0.4055678076019474","0.4055678076019474"
"11","5610","5610","5610","0.3946935801529417","0.3946935801529417","0.3946935801529417"
"12","6120","6120","6120","0.37230811367432276","0.37230811367432276","0.37230811367432276"
"13","6630","6630","6630","0.37277923498083565","0.37277923498083565","0.37277923498083565"
"14","7140","7140","7140","0.3574429235621995","0.3574429235621995","0.3574429235621995"
"15","7650","7650","7650","0.3379838057008444","0.3379838057008444","0.3379838057008444"
"16","8160","8160","8160","0.3326930361051185","0.3326930361051185","0.3326930361051185"
"17","8670","8670","8670","0.3266303292968694","0.3266303292968694","0.3266303292968694"
"18","9180","9180","9180","0.320283644807105","0.320283644807105","0.320283644807105"
"19","9690","9690","9690","0.3109992999364348","0.3109992999364348","0.3109992999364348"
"20","10200","10200","10200","0.29749146834308027","0.29749146834308027","0.29749146834308027"
"21","10710","10710","10710","0.28983098362006393","0.28983098362006393","0.28983098362006393"
"22","11220","11220","11220","0.287868066657992","0.287868066657992","0.287868066657992"
"23","11730","11730","11730","0.2867611636279845","0.2867611636279845","0.2867611636279845"
"24","12240","12240","12240","0.277645768254411","0.277645768254411","0.277645768254411"
"25","12750","12750","12750","0.2675397845752099","0.2675397845752099","0.2675397845752099"
"26","13260","13260","13260","0.2711415278560975","0.2711415278560975","0.2711415278560975"
"27","13770","13770","13770","0.27235274440517615","0.27235274440517615","0.27235274440517615"
"28","14280","14280","14280","0.25552974726055183","0.25552974726055183","0.25552974726055183"
"29","14790","14790","14790","0.2585795491057284","0.2585795491057284","0.2585795491057284"
