"trainer/global_step","SPT-64 - _step","SPT-64 - _step__MIN","SPT-64 - _step__MAX","SPT-64 - train/loss","SPT-64 - train/loss__MIN","SPT-64 - train/loss__MAX"
"4","1","1","1","29.486108779907227","29.486108779907227","29.486108779907227"
"9","3","3","3","27.50115966796875","27.50115966796875","27.50115966796875"
"14","5","5","5","22.219186782836914","22.219186782836914","22.219186782836914"
"19","7","7","7","18.275753021240234","18.275753021240234","18.275753021240234"
"24","9","9","9","18.180980682373047","18.180980682373047","18.180980682373047"
"29","11","11","11","12.556511878967285","12.556511878967285","12.556511878967285"
"34","13","13","13","13.063087463378906","13.063087463378906","13.063087463378906"
"39","15","15","15","11.957650184631348","11.957650184631348","11.957650184631348"
"44","17","17","17","10.037698745727539","10.037698745727539","10.037698745727539"
"49","20","20","20","8.27578353881836","8.27578353881836","8.27578353881836"
"54","22","22","22","7.314206600189209","7.314206600189209","7.314206600189209"
"59","24","24","24","7.30126428604126","7.30126428604126","7.30126428604126"
"64","26","26","26","6.462243556976318","6.462243556976318","6.462243556976318"
"69","28","28","28","6.36093807220459","6.36093807220459","6.36093807220459"
"74","30","30","30","6.589819431304932","6.589819431304932","6.589819431304932"
"79","32","32","32","7.587754726409912","7.587754726409912","7.587754726409912"
"84","34","34","34","6.365967750549316","6.365967750549316","6.365967750549316"
"89","36","36","36","6.354568004608154","6.354568004608154","6.354568004608154"
"94","38","38","38","7.572840690612793","7.572840690612793","7.572840690612793"
"99","41","41","41","7.504004001617432","7.504004001617432","7.504004001617432"
"104","43","43","43","8.168411254882812","8.168411254882812","8.168411254882812"
"109","45","45","45","7.242851257324219","7.242851257324219","7.242851257324219"
"114","47","47","47","7.460267066955566","7.460267066955566","7.460267066955566"
"119","49","49","49","10.96862506866455","10.96862506866455","10.96862506866455"
"124","51","51","51","11.740816116333008","11.740816116333008","11.740816116333008"
"129","53","53","53","14.297019958496094","14.297019958496094","14.297019958496094"
"134","55","55","55","12.351926803588867","12.351926803588867","12.351926803588867"
"139","57","57","57","9.967363357543945","9.967363357543945","9.967363357543945"
"144","59","59","59","9.125894546508789","9.125894546508789","9.125894546508789"
"149","62","62","62","8.33732795715332","8.33732795715332","8.33732795715332"
"154","64","64","64","7.35176944732666","7.35176944732666","7.35176944732666"
"159","66","66","66","7.407476902008057","7.407476902008057","7.407476902008057"
"164","68","68","68","9.812000274658203","9.812000274658203","9.812000274658203"
"169","70","70","70","10.090036392211914","10.090036392211914","10.090036392211914"
"174","72","72","72","11.740618705749512","11.740618705749512","11.740618705749512"
"179","74","74","74","10.234464645385742","10.234464645385742","10.234464645385742"
"184","76","76","76","11.631414413452148","11.631414413452148","11.631414413452148"
"189","78","78","78","8.99138355255127","8.99138355255127","8.99138355255127"
"194","80","80","80","8.061497688293457","8.061497688293457","8.061497688293457"
"199","83","83","83","7.064978122711182","7.064978122711182","7.064978122711182"
"204","85","85","85","6.231789588928223","6.231789588928223","6.231789588928223"
"209","87","87","87","5.499213218688965","5.499213218688965","5.499213218688965"
"214","89","89","89","5.910552978515625","5.910552978515625","5.910552978515625"
"219","91","91","91","5.238795280456543","5.238795280456543","5.238795280456543"
"224","93","93","93","5.175905704498291","5.175905704498291","5.175905704498291"
"229","95","95","95","4.881510257720947","4.881510257720947","4.881510257720947"
"234","97","97","97","5.132880687713623","5.132880687713623","5.132880687713623"
"239","99","99","99","4.984010219573975","4.984010219573975","4.984010219573975"
"244","101","101","101","5.086024761199951","5.086024761199951","5.086024761199951"
"249","104","104","104","5.376570701599121","5.376570701599121","5.376570701599121"
"254","106","106","106","5.145640850067139","5.145640850067139","5.145640850067139"
"259","108","108","108","4.558290958404541","4.558290958404541","4.558290958404541"
"264","110","110","110","4.9445414543151855","4.9445414543151855","4.9445414543151855"
"269","112","112","112","4.809808254241943","4.809808254241943","4.809808254241943"
"274","114","114","114","5.106104373931885","5.106104373931885","5.106104373931885"
"279","116","116","116","5.13101863861084","5.13101863861084","5.13101863861084"
"284","118","118","118","4.797263145446777","4.797263145446777","4.797263145446777"
"289","120","120","120","4.792817115783691","4.792817115783691","4.792817115783691"
"294","122","122","122","4.68325662612915","4.68325662612915","4.68325662612915"
"299","125","125","125","4.5350141525268555","4.5350141525268555","4.5350141525268555"
"304","127","127","127","4.457469940185547","4.457469940185547","4.457469940185547"
"309","129","129","129","4.211690902709961","4.211690902709961","4.211690902709961"
"314","131","131","131","4.463085174560547","4.463085174560547","4.463085174560547"
"319","133","133","133","4.4184136390686035","4.4184136390686035","4.4184136390686035"
"324","135","135","135","4.248207092285156","4.248207092285156","4.248207092285156"
"329","137","137","137","4.243878364562988","4.243878364562988","4.243878364562988"
"334","139","139","139","4.162351131439209","4.162351131439209","4.162351131439209"
"339","141","141","141","4.321493625640869","4.321493625640869","4.321493625640869"
"344","143","143","143","4.357420921325684","4.357420921325684","4.357420921325684"
"349","146","146","146","4.25390100479126","4.25390100479126","4.25390100479126"
"354","148","148","148","4.644805908203125","4.644805908203125","4.644805908203125"
"359","150","150","150","4.2591447830200195","4.2591447830200195","4.2591447830200195"
"364","152","152","152","4.013864517211914","4.013864517211914","4.013864517211914"
"369","154","154","154","4.129776954650879","4.129776954650879","4.129776954650879"
"374","156","156","156","4.157123565673828","4.157123565673828","4.157123565673828"
"379","158","158","158","4.401863098144531","4.401863098144531","4.401863098144531"
"384","160","160","160","3.695751190185547","3.695751190185547","3.695751190185547"
"389","162","162","162","4.187783718109131","4.187783718109131","4.187783718109131"
"394","164","164","164","3.827349901199341","3.827349901199341","3.827349901199341"
"399","167","167","167","4.196877479553223","4.196877479553223","4.196877479553223"
"404","169","169","169","3.8931877613067627","3.8931877613067627","3.8931877613067627"
"409","171","171","171","4.181112766265869","4.181112766265869","4.181112766265869"
"414","173","173","173","4.170740604400635","4.170740604400635","4.170740604400635"
"419","175","175","175","3.992950439453125","3.992950439453125","3.992950439453125"
"424","177","177","177","3.972817897796631","3.972817897796631","3.972817897796631"
"429","179","179","179","4.092448711395264","4.092448711395264","4.092448711395264"
"434","181","181","181","4.016919136047363","4.016919136047363","4.016919136047363"
"439","183","183","183","3.843421220779419","3.843421220779419","3.843421220779419"
"444","185","185","185","3.7444615364074707","3.7444615364074707","3.7444615364074707"
"449","188","188","188","3.8874764442443848","3.8874764442443848","3.8874764442443848"
"454","190","190","190","3.673548936843872","3.673548936843872","3.673548936843872"
"459","192","192","192","3.689739227294922","3.689739227294922","3.689739227294922"
"464","194","194","194","4.00351619720459","4.00351619720459","4.00351619720459"
"469","196","196","196","3.78861927986145","3.78861927986145","3.78861927986145"
"474","198","198","198","3.6378283500671387","3.6378283500671387","3.6378283500671387"
"479","200","200","200","3.617443084716797","3.617443084716797","3.617443084716797"
"484","202","202","202","3.4234604835510254","3.4234604835510254","3.4234604835510254"
"489","204","204","204","3.913768768310547","3.913768768310547","3.913768768310547"
"494","206","206","206","3.5490028858184814","3.5490028858184814","3.5490028858184814"
"499","209","209","209","3.603281021118164","3.603281021118164","3.603281021118164"
"504","211","211","211","3.558271884918213","3.558271884918213","3.558271884918213"
"509","213","213","213","3.4907963275909424","3.4907963275909424","3.4907963275909424"
"514","215","215","215","3.656059741973877","3.656059741973877","3.656059741973877"
"519","217","217","217","3.563593626022339","3.563593626022339","3.563593626022339"
"524","219","219","219","3.481842041015625","3.481842041015625","3.481842041015625"
"529","221","221","221","3.2543182373046875","3.2543182373046875","3.2543182373046875"
"534","223","223","223","4.014552116394043","4.014552116394043","4.014552116394043"
"539","225","225","225","3.777893543243408","3.777893543243408","3.777893543243408"
"544","227","227","227","3.5412774085998535","3.5412774085998535","3.5412774085998535"
"549","230","230","230","3.6358208656311035","3.6358208656311035","3.6358208656311035"
"554","232","232","232","3.679419755935669","3.679419755935669","3.679419755935669"
"559","234","234","234","3.5376713275909424","3.5376713275909424","3.5376713275909424"
